category_name,category_viewers,category_tag_1,category_tag_2,tags_name,Viewers
Windbound,1.5,RPG,Action,,1500
RimWorld,1.4,Strategy,Simulation,,1400
Pokémon Go,1.4,Simulation,RPG,,1400
Reprisal,1.4,Strategy,,,1400
DragonBall Z: Dokkan Battle,1.4,Mobile Game,Fighting,,1400
Grounded,1.4,Adventure Game,Action,,1400
Monster Hunter World,1.4,Action,RPG,,1400
Paladins,1.4,Shooter,FPS,,1400
Hollow Knight,1.3,Platformer,Action,,1300
Hyper Scape,1.3,FPS,Shooter,,1300
Brawlhalla,1.3,Fighting,,,1300
Trackmania,1.2,Driving/Racing Game,,,1200
Horizon Zero Dawn,1.2,RPG,Shooter,,1200
FTL: Faster Than Light,1.2,Strategy,RPG,,1200
MapleStory,1.1,Action,Adventure Game,,1100
Lost Ark Online,1.1,MMORPG,,,1100
Ancestors: The Humankind Odyssey,1.1,Action,Adventure Game,,1100
The Legend of Zelda: Ocarina of Time,1.1,Action,Adventure Game,,1100
Football Manager 2020,1,Simulation,Sports Game,,1000
Final Fantasy Crystal Chronicles,1,Action,Adventure Game,,1000
RuneScape,1,MMORPG,RPG,,1000
Agrou,1,,,,1000
Conan Exiles,1,Action,RPG,,1000
Super Mario World,998,Platformer,,,998
The Elder Scrolls V: Skyrim,986,RPG,Open World,,986
Guild Wars 2,981,MMORPG,RPG,,981
Food & Drink,978,Creative,IRL,,978
Eternal,977,Card & Board Game,,,977
Brawl Stars,964,Action,Shooter,,964
Pokémon FireRed/LeafGreen,941,Strategy,RPG,,941
Virtual Casino,931,Card & Board Game,,,931
Don't Starve Together,929,Action,Roguelike,,929
Alien: Isolation,927,Action,Horror,,927
Monster Train,923,Strategy,,,923
Grand Theft Auto IV,923,Shooter,Action,,923
Dragon Ball FighterZ,920,Fighting,,,920
Humankind,919,Strategy,,,919
Super Mario 64,915,Adventure Game,,,915
Home Behind,905,Indie Game,,,905
Mortal Kombat 11,903,Fighting,,,903
Pokémon Red/Blue,895,RPG,,,895
Dual Universe,885,MMORPG,Indie Game,,885
Ghost of Tsushima,872,Action,Adventure Game,,872
Euro Truck Simulator 2,869,Driving/Racing Game,,,869
Star Citizen,856,Shooter,Action,,856
Bloodborne,850,RPG,Action,,850
Struggling,849,Action,Indie Game,,849
Pokémon HeartGold/SoulSilver,845,RPG,,,845
Makers & Crafting,816,Creative,IRL,,816
Outlast,810,Adventure Game,Horror,,810
Cookie Clicker,808,Simulation,Horror,,808
Amnesia: The Dark Descent,799,Puzzle,Adventure Game,,799
Super Mario Maker 2,799,Platformer,,,799
The Legend of Zelda: Breath of the Wild,797,Action,Adventure Game,,797
Super Mario Bros. 3,791,Platformer,,,791
PGA Tour 2K21,790,Sports Game,,,790
Fate/Grand Order,790,Card & Board Game,RPG,,790
Hellblade,786,Action,Adventure Game,,786
Mario Kart Wii,785,Driving/Racing Game,,,785
The Elder Scrolls IV: Oblivion,777,RPG,Action,,777
Gears 5,772,Action,,,772
Satisfactory,772,Action,Adventure Game,,772
Last Day On Earth: Survival,761,Simulation,Horror,,761
Mortal Shell,751,Action,RPG,,751
Payday 2,742,FPS,Shooter,,742
Tom Clancy's The Division 2,738,RPG,Shooter,,738
Friday the 13th: The Game,732,Action,Horror,,732
